Experiment;Date;Collar;Start;End;Obs;Chamber_volume [m3];Collar_height [m];Temp [C];Air_pres [hPa]
leikkuu;3.6.2019;1;10:24:30;10:34:42;;0.2736;0.183445122;20;1000
leikkuu;3.6.2019;2;10:36:54;10:45:00;;0.2736;0.161859756;20;1000
leikkuu;3.6.2019;3;10:46:54;10:55:00;;0.2736;0.138371951;20;1000
leikkuu;3.6.2019;4;10:57:18;11:08:54;;0.2736;0.13372561;20;1000
leikkuu;3.6.2019;5;11:57:07;12:05:12;;0.2736;0.124112805;20;1000
leikkuu;3.6.2019;6;12:07:12;12:16:06;;0.2736;0.137707317;20;1000
leikkuu;3.6.2019;7;12:17:48;12:25:54;;0.2736;0.158359756;20;1000
leikkuu;3.6.2019;8;12:27:42;12:35:54;;0.2736;0.144198171;20;1000
leikkuu;3.6.2019;9;12:39:06;12:47:12;;0.2736;0.144405488;20;1000
leikkuu;3.6.2019;10;12:49:54;12:58:07;;0.2736;0.14447561;20;1000
leikkuu;3.6.2019;11;13:01:24;13:09:48;;0.2736;0.137594512;20;1000
leikkuu;3.6.2019;12;13:13:24;13:22:00;;0.2736;0.158564024;20;1000
